平台	平台类型	网址	网址类型	客户
万顺游戏	棋牌	ws8app.com	域名	成功棋牌
王子棋牌	棋牌	wt1216.com	域名	成功棋牌
大发网址0662	彩票	wt5544.com	域名	成功彩票
无他棋牌	棋牌	wutayule.com	域名	阿信
LOVEBET爱博	彩票	www1098.cc:888	域名	凤凰白
盛大棋牌	棋牌	www-3929.com	域名	成功棋牌
61棋牌	棋牌	www-61qp.cc	域名	成功棋牌
苹果棋牌	棋牌	www-6796.com	域名	阿信
开元棋牌	棋牌	www-6929.com	域名	成功棋牌
大发网址1331	彩票	www-78267.com	域名	成功彩票
986棋牌	棋牌	www-986-game.cn	域名	成功棋牌
全民棋牌2	棋牌	www-q28.com	域名	成功棋牌
大发棋牌	棋牌	www-qp09.com	域名	成功棋牌
七星棋牌	棋牌	wwwqx67.com	域名	阿信
天下第一	棋牌	www-txdy.com	域名	阿信
天乐棋牌	棋牌	wx3688.com	域名	成功棋牌
微星棋牌	棋牌	wx56.cc	域名	阿信,成功棋牌
王者棋牌1	棋牌	wzqp2233.com	域名	成功棋牌
王者棋牌	棋牌	wzqp3718.com	域名	成功棋牌
王者娱乐	棋牌	wzyl.tep99.com	域名	成功棋牌
拉菲2娱乐天地	彩票	x1.yuansuqiang.com	域名	凤凰白
万达娱乐	彩票	x2.984qqdeg.com	域名	凤凰白
金伦棋牌	棋牌	xaoa.info	域名	成功棋牌
佩奇棋牌	棋牌	xbqp838.com	域名	成功棋牌
大发网址0471	彩票	xcw885.com	域名	成功彩票
大发网址0592	彩票	xcw993.com	域名	成功彩票
小新棋牌	棋牌	xiaoxinqp.com	域名	成功棋牌
大成棋牌	棋牌	xiawuxia.com	域名	成功棋牌
新潮平台	彩票	xinchao908.com	域名	凤凰白
波比棋牌	棋牌	xmzhyc.com	域名	阿信
大发网址0871	彩票	xncp1122.com	域名	成功彩票
知否棋牌	棋牌	xnrtx.com	域名	阿信
大发网址0911	彩票	xtc66k.com	域名	成功彩票
大发网址1188	彩票	xtc952.com	域名	成功彩票
迅达娱乐	彩票	xunda11.com	域名	凤凰白
大发网址1313	彩票	xwcp918.com	域名	成功彩票
星月城娱乐	彩票	xyc.pl113.com	域名	凤凰白
幸运棋牌3	棋牌	xyqp10.com	域名	成功棋牌
传奇扑克	棋牌	xzqzsh.cn	域名	成功棋牌
独角兽棋牌	棋牌	y12080.com	域名	成功棋牌
元帅棋牌	棋牌	y888.uk	域名	阿信
优博娱乐城	彩票	yb2246.com:8866	域名	凤凰白
大发网址0597	彩票	yc8669.com	域名	成功彩票
大发网址0856	彩票	ydcp028.com	域名	成功彩票
大发网址1074	彩票	yfcp163.com	域名	成功彩票
瀛峰棋牌	棋牌	yfqp5.app	域名	成功棋牌
易发棋牌	棋牌	yfqpapp.com	域名	成功棋牌
万亿棋牌	棋牌	yishu588.com	域名	成功棋牌
大发网址1391	彩票	yiz999.com	域名	成功彩票
优库棋牌	棋牌	yk468.com	域名	阿信
优库棋牌	棋牌	yk661.com	域名	阿信
77棋牌	棋牌	yk7.com	域名	阿信
银牛国际娱乐	棋牌	ynqp08.com	域名	成功棋牌
银牛娱乐	棋牌	ynqp11.com	域名	阿信
银牛娱乐	棋牌	ynqp13.com	域名	阿信
靠谱棋牌	棋牌	yongfa.lujinhuahui.com	域名	阿信
868棋牌	棋牌	youxi868.cc	域名	阿信
868棋牌	棋牌	youxi868.com	域名	成功棋牌
雲迹棋牌	棋牌	yunjiqp.com	域名	成功棋牌
凯旋娱乐	棋牌	yvmh.fangdaoluosi8.com	域名	阿信
英雄棋牌	棋牌	yxqp.com	域名	阿信
939棋牌	棋牌	yyyxxx88.939qipai.com	域名	成功棋牌
636棋牌	棋牌	z11pv.cn	域名	成功棋牌
盛大棋牌	棋牌	z2jdou.cn	域名	阿信
大发娱乐	棋牌	z989z989.com	域名	成功棋牌
咋地棋牌	棋牌	zadiqp.com	域名	成功棋牌
万马棋牌	棋牌	zantmu.cn	域名	阿信
大发网址1342	彩票	zc659.com	域名	成功彩票
大发网址0593	彩票	zc87e.com	域名	成功彩票
招财棋牌	棋牌	zcqp.com	域名	阿信
大发网址0736	彩票	zcw09.co	域名	成功彩票
众大在线	彩票	zd.cnyjgy.com	域名	凤凰白
正点游戏	彩票	zdyx33.com	域名	凤凰白
大发网址0857	彩票	zh803.com	域名	成功彩票
奔驰棋牌	棋牌	zhifou135.com	域名	阿信
知否棋牌	棋牌	zhifou137.com	域名	阿信,成功棋牌
追梦娱乐	棋牌	zhuimeng78.com	域名	阿信
金博棋牌	棋牌	zojmm.ztdcgzhaocai.com	域名	成功棋牌
众游棋牌	棋牌	zoy8.cn	域名	阿信,成功棋牌
砖石国际	棋牌	zs06.com	域名	成功棋牌
大发网址0913	彩票	zsc73.com	域名	成功彩票
掌上棋牌	棋牌	zsqp.com	域名	成功棋牌
总统娱乐	棋牌	zt99.com	域名	阿信
聚友棋牌	棋牌	zunhonge.com	域名	成功棋牌
左右棋牌	棋牌	zuoyou579.com	域名	阿信
中信娱乐	彩票	zx9968.com	域名	凤凰白
大发网址1213	彩票	zxc07.com	域名	成功彩票
大发网址0836	彩票	zycp2016.com	域名	成功彩票
章鱼棋牌	棋牌	zydj3.com	域名	成功棋牌
章鱼竞技	棋牌	zyjj33.com	域名	成功棋牌
至尊娱乐	棋牌	zz12248.com	域名	成功棋牌
快乐棋牌	棋牌	zz68.com	域名	成功棋牌
至尊棋牌	棋牌	zzqp.com	域名	成功棋牌
地产1	地产	ycgjgg.fang.com/?ctm=1.hengyang.xf_search.lplist.5	链接	柱子哥
地产2	地产	rongguanlecheng.fang.com/?ctm=1.hengyang.xf_search.lplist.1	链接	柱子哥
地产3	地产	wutongzhuangyuanmd.fang.com/?ctm=1.hengyang.xf_search.lplist.4	链接	柱子哥
地产4	地产	mdyxf0734.fang.com/?ctm=1.hengyang.xf_search.lplist.1	链接	柱子哥
地产5	地产	mdblw.fang.com/?ctm=1.hengyang.xf_search.lplist.2	链接	柱子哥
地产6	地产	zjhcyp.fang.com/?ctm=1.hengyang.xf_search.lplist.1	链接	柱子哥
地产7	地产	wuguangxinchengjz.fang.com/?ctm=1.hengyang.xf_search.lplist.1	链接	柱子哥
地产8	地产	jinzhongyangxi.fang.com/?ctm=1.hengyang.xf_search.lplist.2	链接	柱子哥
地产9	地产	jinzhongfu.fang.com/?ctm=1.hengyang.xf_search.lplist.3	链接	柱子哥
地产10	地产	jzjyc2.fang.com/?ctm=1.hengyang.xf_search.lplist.5	链接	柱子哥
地产11	地产	dayanchengjz.fang.com/?ctm=1.hengyang.xf_search.lplist.7	链接	柱子哥
地产12	地产	xinyuechengjz.fang.com/?ctm=1.hengyang.xf_search.lplist.4	链接	柱子哥
地产13	地产	dingwangtaijz.fang.com/?ctm=1.hengyang.xf_search.lplist.6	链接	柱子哥
地产14	地产	jzmsw0734.fang.com/?ctm=1.hengyang.xf_search.lplist.8	链接	柱子哥
地产15	地产	jinzhonghenggangzhongxin.fang.com/?ctm=1.hengyang.xf_search.lplist.9	链接	柱子哥
地产16	地产	dayuechengjz.fang.com/?ctm=1.hengyang.xf_search.lplist.11	链接	柱子哥
地产17	地产	bgyst.fang.com/?ctm=1.hengyang.xf_search.lplist.2	链接	柱子哥
地产18	地产	hengzhoushengshibgy.fang.com/?ctm=1.hengyang.xf_search.lplist.5	链接	柱子哥
地产19	地产	zichenfu.fang.com/?ctm=1.hengyang.xf_search.lplist.7	链接	柱子哥
地产20	地产	bgyhxsd.fang.com/?ctm=1.hengyang.xf_search.lplist.11	链接	柱子哥
地产21	地产	hengzhongxinbgy.fang.com/?ctm=1.hengyang.xf_search.lplist.13	链接	柱子哥
地产22	地产	shilijiangwanhybgy.fang.com/?ctm=1.hengyang.xf_search.lplist.14	链接	柱子哥
地产23	地产	linghushijiabgy.fang.com/?ctm=1.hengyang.xf_search.lplist.8	链接	柱子哥
地产24	地产	bdqty.fang.com/?ctm=1.hengyang.xf_search.lplist.15	链接	柱子哥
地产25	地产	yintaihongcheng.fang.com/4/?ctm=1.hengyang.xf_search.lplist.2	链接	柱子哥
地产26	地产	boyufuay.fang.com/?ctm=1.hengyang.xf_search.lplist.1	链接	柱子哥
地产27	地产	yinhuwanxczx.fang.com/?ctm=1.hengyang.xf_search.lplist.2	链接	柱子哥
地产28	地产	yuyuanysl.fang.com/?ctm=1.hengyang.xf_search.lplist.1	链接	柱子哥
地产29	地产	yashilinxiangfuly.fang.com/?ctm=1.hengyang.xf_search.lplist.2	链接	柱子哥
地产30	地产	guifuysl.fang.com/?ctm=1.hengyang.xf_search.lplist.3	链接	柱子哥
地产31	地产	junyage.fang.com/?ctm=1.hengyang.xf_search.lplist.4	链接	柱子哥
地产32	地产	wanhechengjj.fang.com/?ctm=1.hengyang.xf_search.lplist.3	链接	柱子哥
地产33	地产	yuefengjzy0734.fang.com/?ctm=1.hengyang.xf_search.lplist.8	链接	柱子哥
地产34	地产	rlfhc.fang.com/?ctm=1.hengyang.xf_search.lplist.3	链接	柱子哥
地产35	地产	yanchengshouxi.fang.com/?ctm=1.hengyang.xf_search.lplist.6	链接	柱子哥
地产36	地产	yujingyayuanzj.fang.com/?ctm=1.hengyang.xf_search.lplist.4	链接	柱子哥
地产37	地产	yujingxinchengzj.fang.com/?ctm=1.hengyang.xf_search.lplist.5	链接	柱子哥
地产38	地产	yujingnanyuanzj.fang.com/?ctm=1.hengyang.xf_search.lplist.7	链接	柱子哥
地产39	地产	zhujiangyunjin.fang.com/?ctm=1.hengyang.xf_search.lplist.1	链接	柱子哥
地产40	地产	dijingshanzhuangzj0734.fang.com/?ctm=1.hengyang.xf_search.lplist.6	链接	柱子哥
传奇	游戏	play.11h5.com/game/?gameid=656&chid=2664	链接	广州GS
传奇	游戏	mp.hortorgames.com/auth/game/zytl.html?userId=otVZytzr9aCtjsVG_VNFGT5bG-gM&loginTime=1578046417&friendCode=&gameId=zytl&channel=lzh&originalChannel=lzh&platForm=wx&loginFrom=wx	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&code=c-489b381fbb82da249a6d1bc0052737ec&chid=3509	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=123&chid=3151	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=385&chid=3151	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=449&chid=3509	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=499&chid=3151	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=535&chid=2664	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=535&chid=3151	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=535&chid=3351	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=535&code=c-ecaba14f3111615d8e619509fbb8fd1c&chid=3151	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=599&chid=3509	链接	广州GS
传奇	游戏	s.3500.com/userinfo/login/130.html?flag=340	链接	广州GS
传奇	游戏	sdk.djsh5.com/game/xcxindex.php?g=rGTaSneKdZ4yx	链接	广州GS
传奇	游戏	sdkh5.gamedog.cn/game/index?appid=440&channel=629&suid=4805924&guid=0	链接	广州GS
传奇	游戏	tg396.333h5.com/index.php?ac=play&id=666	链接	广州GS
传奇	游戏	tg396.333h5.com/index.php?ac=play&id=770&auth=f165XJNQHHzRAd2qpm%2BuUXW4sOzxUQsh5M1WpIAeqTTDA5fjBkqq3ogjaM8XxDnfwMM0kdTKxk7Sc1saGJFLgNwOLWox	链接	广州GS
传奇	游戏	v1.j6yx.com/wap/game/play.html?gid=472	链接	广州GS
传奇	游戏	www.4399.com/flash/190484.htm	链接	广州GS
传奇	游戏	game.11h5.com/?from=menu&from_wx=awy&statid=1785	链接	广州GS
传奇	游戏	game.11h5.com/?from=menu&from_wx=wx1&statid=1786	链接	广州GS
传奇	游戏	mp.hortorgames.com/auth/game/cqll.html?friendCode=&gameId=cqll&channel=hortor&userId=otVZyt84Lq51bED-czjc8t_Ooab0&loginTime=1577365989&loginFrom=wx&compaign=qewy&originalChannel=hortor&platForm=wx	链接	广州GS
传奇	游戏	mp.hortorgames.com/auth/game/cqll.html?friendCode=&gameId=cqll&channel=lzh&userId=otVZytzr9aCtjsVG_VNFGT5bG-gM&loginTime=1578046338&loginFrom=wx&originalChannel=lzh&platForm=wx	链接	广州GS
传奇	游戏	mp.hortorgames.com/auth/game/rxhj.html?channel=lzh&userId=otVZytzr9aCtjsVG_VNFGT5bG-gM&loginTime=1578046453&friendCode=&gameId=rxhj&originalChannel=lzh&platForm=wx&loginFrom=wx	链接	广州GS
传奇	游戏	mp.hortorgames.com/auth/game/sbkcq.html?friendCode=&gameId=sbkcq&channel=lzh&userId=otVZytzr9aCtjsVG_VNFGT5bG-gM&loginTime=1578046512&originalChannel=lzh&platForm=wx&loginFrom=wx	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&chid=1656&cp_refresh=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&chid=1981	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&code=c-01a60555adecf41bc5470e057c7af110&statid=1786&backGC=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&code=c-04c266648d548a382dfd434f03519b68&cp_menu=1&cp_wx=awy&statid=1785&cp_refresh=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&code=c-426dbb0a5644de08c0866c1efec8c2f0&statid=1785&backGC=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&code=c-430ba510778a2f982e8b0adbf5620a90&statid=1786&backGC=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&code=c-49532008a7afa958efdc0c4643eb6603&cp_menu=1&cp_wx=plus&statid=1602&cp_refresh=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&code=c-c604be0a87b18a191eaba60f9520c002&cp_menu=1&cp_wx=wx1&statid=1786&cp_refresh=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&code=c-d04cd3a45029cae5cef4757367280d21&cp_menu=1&cp_wx=wx4&statid=1789&cp_refresh=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&code=c-f18f3537138b93047da2f1625ec4cb6b&statid=1785&backGC=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&code=c-f31757e4f831c2d907620b41529a64b2&chid=1700&backGC=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157&code=c-ffc90eae4fb5dd163b54e0d80688310d&cp_menu=1&cp_wx=wx2&statid=1787&cp_refresh=1	链接	广州GS
传奇	游戏	v.douyin.com/GFm44T	链接	广州GS
传奇	游戏	www.53fun.com/wap.php/?s=Index/play.html&gameid=235&chid=0&code=c-a2b6c7841dd628c9f66ddc2f363bd84a	链接	广州GS
传奇	游戏	7724wx.open.7724.com/cqllsy/game?flag=7724wx	链接	广州GS
传奇	游戏	7724wx.open.7724.com/cqsj/game?flag=7724wx	链接	广州GS
传奇	游戏	7724wx.open.7724.com/jzsc/game?flag=7724wx	链接	广州GS
传奇	游戏	7724wx.open.7724.com/ydcs/game?flag=7724wx	链接	广州GS
传奇	游戏	a.xyxz.kingoo.com.cn/s/wrxc1223hywz001/?bd_vid=12031380910215649296	链接	广州GS
传奇	游戏	account.cubejoy.com/Html/Mobile/Login.html?returnurl=https://open.weixin.qq.com/connect/oauth2/authorize?appid=wx5bfbd45ec6763b37&redirect_uri=http%3A%2F%2Fwg.cubejoy.com%2Fwechat%2FOpenidRedirect&response_type=code&scope=snsapi_userinfo&state=10000048#wechat_redirect	链接	广州GS
传奇	游戏	account.cubejoy.com/Html/Mobile/Login.html?returnurl=https://open.weixin.qq.com/connect/oauth2/authorize?appid=wx5bfbd45ec6763b37&redirect_uri=http%3A%2F%2Fwg.cubejoy.com%2Fwechat%2FOpenidRedirect&response_type=code&scope=snsapi_userinfo&state=10000058#wechat_redirect	链接	广州GS
传奇	游戏	account.cubejoy.com/Html/Mobile/Login.html?returnurl=https://open.weixin.qq.com/connect/oauth2/authorize?appid=wx5bfbd45ec6763b37&redirect_uri=http%3A%2F%2Fwg.cubejoy.com%2Fwechat%2FOpenidRedirect&response_type=code&scope=snsapi_userinfo&state=10000121#wechat_redirect	链接	广州GS
传奇	游戏	app.keleyx.com/h5.php/User/index?gid=419&promote_id=527&callback=	链接	广州GS
传奇	游戏	app.tanwan.com/sycode/333801.html	链接	广州GS
传奇	游戏	chuanqi.hgame.com/?game_key=50f9bc36643e738e&game_url=http%3A%2F%2F&login_type=2&nonce=U3eQ1JCKfAIS286s&signature=bebe5d98c069a4bb4dec0c658eeca3bb0f97652d&ticket=5e0f27eb6e73d40908%7C1578051563%7CMmY1ZmRjN2NkNzYxZjlhNGNlNmQyNDI1ZTNjN2IwZTQzYTNlZThkYQ%3D%3D&timestamp=1578051563	链接	广州GS
传奇	游戏	csydtg.980cje.com/s/11/3155/396c.html?uid=521411&wap=1&&jump=1	链接	广州GS
传奇	游戏	f.xyxz.kingoo.com.cn/s/f1218hcyd001/?bd_vid=9961331141311790724	链接	广州GS
传奇	游戏	g.h5uc.com/72/10?h5ucli=%7B%22player_id%22%3A51243510%2C%22token%22%3A%228db72558cd81aea4815f598e9e42b4b050969e83%22%2C%22expires_at%22%3A1578652915%2C%22type%22%3A%22default%22%2C%22pwdstatus%22%3Atrue%7D	链接	广州GS
传奇	游戏	game.11h5.com/cps/?chid=1589	链接	广州GS
传奇	游戏	game.2155.com/game/index/id/355?channel=2155&openid=oNI8p1u__8odwSgBGj8ioXn9DOCY	链接	广州GS
传奇	游戏	game.361759.com/code/1335/10042656.html	链接	广州GS
传奇	游戏	game.37.com/play_h5.php?game_id=550&code=011zuCma0xOkZA1Skwoa0Shtma0zuCmd&state=STATE	链接	广州GS
传奇	游戏	game.kuku168.cn/public/html/gameContainer.html?gameId=1138	链接	广州GS
传奇	游戏	game.kuku168.cn/public/html/gameContainer.html?gameId=659	链接	广州GS
传奇	游戏	gamexd.fire2333.com/home/ac?action=/home/game/a/5100009/g/200048/pt/5100036	链接	广州GS
传奇	游戏	gamexd.fire2333.com/home/ac?action=/home/game/a/5100009/g/200048/pt/5100087	链接	广州GS
传奇	游戏	gamexd.fire2333.com/home/ac?action=/home/game/a/5100009/g/200048/pt/5100089	链接	广州GS
传奇	游戏	gamexd.fire2333.com/home/game/appid/5100009/gameid/200048/pt/5100046	链接	广州GS
传奇	游戏	h.8090.com/enter/?gname=xxys	链接	广州GS
传奇	游戏	h5.07073.com/gameplay/wap-wczb?appid=10128&isauthok=1	链接	广州GS
传奇	游戏	h5.07073.com/gameplay/wap-ydcs	链接	广州GS
传奇	游戏	h5.17kx.com/game/jump?gameid=2	链接	广州GS
传奇	游戏	h5.2217.com/game/1071	链接	广州GS
传奇	游戏	h5.3367.com/view/person/login.html	链接	广州GS
传奇	游戏	h5.602.com/mobile/game/play/?id=100204	链接	广州GS
传奇	游戏	h5.602.com/mobile/game/play/?id=101	链接	广州GS
传奇	游戏	h5.76ju.com/index.php?s=/Subscriber/login.html	链接	广州GS
传奇	游戏	h5.77l.com/g/10247/?q=F1881	链接	广州GS
传奇	游戏	h5.77l.com/g/10248/?q=F1881	链接	广州GS
传奇	游戏	h5.77l.com/g/8482/?q=F1881	链接	广州GS
传奇	游戏	h5.77l.com/g/8500/?q=F1881	链接	广州GS
传奇	游戏	h5.77l.com/g/8511/?q=F1881	链接	广州GS
传奇	游戏	h5.77l.com/g/9915/?q=F1881	链接	广州GS
传奇	游戏	h5.7k7k.com/game/92476fef22d9336f40f31572d26bd969?tid=40739&uid1=827543702&uid0=827543702	链接	广州GS
传奇	游戏	h5.7k7k.com/game/ac220e059ba7a3165dfd5091e60773ff	链接	广州GS
传奇	游戏	h5.7youxi.com/game/103	链接	广州GS
传奇	游戏	h5.7youxi.com/game/82	链接	广州GS
传奇	游戏	h5.8ugames.com/login/?gid=25&uid=1	链接	广州GS
传奇	游戏	h5.8ugames.com/login/?gid=302&uid=1	链接	广州GS
传奇	游戏	h5.8ugames.com/login/?gid=399&uid=1	链接	广州GS
传奇	游戏	h5.8ugames.com/login/?gid=408&uid=1	链接	广州GS
传奇	游戏	h5.915.com/game.php?id=1&pf=index.html	链接	广州GS
传奇	游戏	h5.915.com/game.php?id=118&agent_id=100&site_id=100&openid=oQ6wHv8q5hJhScUYsBlTYmXoE66Q	链接	广州GS
传奇	游戏	h5.aotian.com/game/play/?id=109	链接	广州GS
传奇	游戏	h5.aotian.com/game/play/?id=135	链接	广州GS
传奇	游戏	h5.aotian.com/game/play/?id=215	链接	广州GS
传奇	游戏	h5.aotian.com/game/play/?id=234	链接	广州GS
传奇	游戏	h5.gamersky.com/game/zhanyuetulong/m.shtml	链接	广州GS
传奇	游戏	h5.ku25.com/index.php/Mobile/index.html?gid=164	链接	广州GS
传奇	游戏	h5.ku25.com/index.php/Mobile/index.html?gid=171	链接	广州GS
传奇	游戏	h5.ku25.com/index.php/Mobile/index.html?gid=94	链接	广州GS
传奇	游戏	h5.kuwan8.com/FuLi/PackInfo?pid=239&gid=59	链接	广州GS
传奇	游戏	h5.kuwan8.com/Games/Game?gameID=59	链接	广州GS
传奇	游戏	h5.kuwan8.com/Union/Login?uid=2	链接	广州GS
传奇	游戏	h5.tanwan.com/game/?id=521	链接	广州GS
传奇	游戏	h5.tanwan.com/game/?id=521&agent_id=100368&site_id=205860	链接	广州GS
传奇	游戏	h5.tanwan.com/game/?id=521&game_id=521&agent_id=101308&site_id=140433&cplaceid=&ext_data=wechat&wx_openid=oakFq0gjZG4rNz-sNE1i_5m9crOA&sessionid=sqa6k17olfb4hlorlvcoav04in	链接	广州GS
传奇	游戏	h5.tanwan.com/game/?id=885&agent_id=103139&site_id=204474	链接	广州GS
传奇	游戏	h5.tanwan.com/game/?id=948	链接	广州GS
传奇	游戏	h5.tanwan.com/game/wxmall.html?gid=186	链接	广州GS
传奇	游戏	h5.top-niu.cn/play/login/startGameV4?appKey=29e371c35fd8a9fae27adace81981026&chn=mpmenu&loginToken=uw5Esj7_nz2nHhfK8E5FlQ&shareTime=0&wyOpenAppId=107686&rcontentimeId=1578054544762	链接	广州GS
传奇	游戏	h5.top-niu.cn/play/login/startGameV4?appKey=3e1aec5effa611cabde13178296414a5&chn=mpmenu&loginToken=4troYxxnSQT--T696oMTfg&shareTime=0&wyOpenAppId=107686&rcontentimeId=1578054565856	链接	广州GS
传奇	游戏	h5.toptengxun.cn/play/login/startGameV4?appKey=276f6be905717a6b6be9924708e415c2&chn=mpmenu&loginToken=jFkvmnDWQU1g_rdhcTn1oQ&shareTime=0&wyOpenAppId=107686&rcontentimeId=1578054516586	链接	广州GS
传奇	游戏	h5.top-wan.cn/play/login/startGameV4?appKey=a92661556b532e5b0b5eff7a9eb708ef&chn=mpmenu&loginToken=eOdzpVQchn-MIgyBZGgCLA&shareTime=0&wyOpenAppId=107686&rcontentimeId=1578054458246&openAppId=107696&wxOpenid=oh2-H0QRyevc3B0pRFM9eP5_3IG4	链接	广州GS
传奇	游戏	h5.top-wan.cn/play/login/startGameV4?appKey=c1ad5241817e5cfa93d0afc8d1fa3f08&chn=mpmenu&loginToken=3osF2G0RkQYHjG74jwNxig&shareTime=0&wyOpenAppId=107686&rcontentimeId=1578054475198	链接	广州GS
传奇	游戏	h5.wan.360.cn/game?channel=&src=wanh5-wanyouxi&advid=&_gkey=csh5	链接	广州GS
传奇	游戏	h5.wan.360.cn/game?gkey=&channel=&src=wanh5-scbgzh&advid=&_gkey=cqllh5&code=071cm7e41OmyTP1yWLg41hL2e41cm7eZ&state=	链接	广州GS
传奇	游戏	h5.wan.360.cn/game?gkey=&channel=&src=wanh5-wanyouxi&advid=&_gkey=cqllh5&code=0617zhfK09AbMa26LxgK0RfifK07zhf1&state=	链接	广州GS
传奇	游戏	h5.wan.360.cn/welfare/alllist?src=wanh5-scbgzh	链接	广州GS
传奇	游戏	h5.yy.com/games/?appId=YDCSH5&productCode=YYGAME_WX&channel=YYGAME_WX&ref=sy/rmphb/19	链接	广州GS
传奇	游戏	i.7724.com/recharge/sdkindex/?channel=0&fee=10.00&appkey=153189534508&subject=%E5%85%83%E5%AE%9D&time=1577339863&token=418089a22ed0d478b0e9248964e8f845&orderno=1990658&sign=8e373dd48ac7e762e1d264f5109dcd57&ext=eyJmbGFnIjpudWxsLCJpc19yZWFsbmFtZSI6MCwiaXNfYWR1bHQiOjB9	链接	广州GS
传奇	游戏	ka.18183.com/card_69564.shtml	链接	广州GS
传奇	游戏	m.7724.com/cqllsy/game	链接	广州GS
传奇	游戏	m.qunhei.com/game/login.html?gid=4192	链接	广州GS
传奇	游戏	m.qunhei.com/game/login.html?gid=4531	链接	广州GS
传奇	游戏	m.tanwan.com/wap/?m=wap&c=gift&a=index2018	链接	广州GS
传奇	游戏	mp.hortorgames.com/auth/game/lczg.html?friendCode=&gameId=lczg&channel=wj&userId=otVZyt28BFnRkTy9vEmh0yPjAxcY&loginTime=1578056332&originalChannel=wj&platForm=wx&loginFrom=wx	链接	广州GS
传奇	游戏	mp.hortorgames.com/auth/game/lczg.html?friendCode=&gameId=lczg&channel=ywg&userId=otVZyt6yahPYFh6ezGCe4j7i6ThE&loginTime=1577341694&loginFrom=wx&platForm=wx&originalChannel=ywg	链接	广州GS
传奇	游戏	mp.hortorgames.com/auth/game/rexueshacheng.html?loginTime=1578051144&friendCode=&gameId=rexueshacheng&channel=ywg&userId=otVZyt6yahPYFh6ezGCe4j7i6ThE&version=&ext=&loginFrom=wx&compaign=pop_in_6&originalChannel=H5YXGF&platForm=wx	链接	广州GS
传奇	游戏	mp.hortorgames.com/auth/game/tlpx.html?channel=ywg&userId=otVZyt6yahPYFh6ezGCe4j7i6ThE&loginTime=1578054989&friendCode=&gameId=tlpx&loginFrom=wx&originalChannel=ywg&platForm=wx	链接	广州GS
传奇	游戏	mp.hortorgames.com/auth/game/tlpx.html?friendCode=&gameId=tlpx&channel=ywg&userId=otVZyt6yahPYFh6ezGCe4j7i6ThE&loginTime=1578051195&platForm=wx&version=&ext=&loginFrom=wx&compaign=mid_0_o2_1&originalChannel=H5YXGF	链接	广州GS
传奇	游戏	mp.hortorgames.com/auth/game/tlpx.html?friendCode=&gameId=tlpx&channel=ywg&userId=otVZyt6yahPYFh6ezGCe4j7i6ThE&loginTime=1578052269&originalChannel=ylm&platForm=wx&loginFrom=wx	链接	广州GS
传奇	游戏	open1254.game.4177.com/game/10652	链接	广州GS
传奇	游戏	open4978.game.4177.com/game/10652	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=123&chid=3351&cp_refresh=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=157	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=378&chid=2662	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=385&chid=2662	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=385&code=c-7ef9332a30e21d810bddc5cd15b6b580&chid=2664	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=449&chid=1915	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=449&chid=2662	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=449&chid=2664	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=449&chid=3151	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=498&chid=2662	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=498&code=c-2f32437248399dbef8a8787d7658f773&chid=1589	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=534&chid=2317&cp_refresh=1	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=534&chid=2662	链接	广州GS
传奇	游戏	play.11h5.com/game/?gameid=535&chid=2433	链接	广州GS
